[09mei2024 18:53:22.735] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgedatauserdev, --assetIndex, 5, --assetsDir, C:\Users\Veenstra\.gradle\caches\forge_gradle\assets, --gameDir, ., --fml.forgeVersion, 47.2.20, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, --mod, orenamental, --all, --output, C:\Users\Veenstra\Desktop\Orenamental\src\generated\resources, --existing, C:\Users\Veenstra\Desktop\Orenamental\src\main\resources]
[09mei2024 18:53:22.741] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.5 by Amazon.com Inc.; OS Windows 10 arch amd64 version 10.0
[09mei2024 18:53:22.855] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgedatauserdev
[09mei2024 18:53:22.898] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Veenstra/.gradle/caches/modules-2/files-2.1/org.spongepowered/mixin/0.8.5/9d1c0c3a304ae6697ecd477218fa61b850bf57fc/mixin-0.8.5.jar%23128!/ Service=ModLauncher Env=CLIENT
[09mei2024 18:53:23.162] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Veenstra\.gradle\caches\modules-2\files-2.1\net.minecraftforge\javafmllanguage\1.20.1-47.2.20\918959a037ab7191a0c45a359f4746ab76c110c3\javafmllanguage-1.20.1-47.2.20.jar is missing mods.toml file
[09mei2024 18:53:23.165] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Veenstra\.gradle\caches\modules-2\files-2.1\net.minecraftforge\lowcodelanguage\1.20.1-47.2.20\c1d1efcb98e8bfcf3dbfed0d1e81b55b648b86bf\lowcodelanguage-1.20.1-47.2.20.jar is missing mods.toml file
[09mei2024 18:53:23.168] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Veenstra\.gradle\caches\modules-2\files-2.1\net.minecraftforge\mclanguage\1.20.1-47.2.20\efca3bee89c0085192b122d47334692b921ca7d1\mclanguage-1.20.1-47.2.20.jar is missing mods.toml file
[09mei2024 18:53:23.171] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Veenstra\.gradle\caches\modules-2\files-2.1\net.minecraftforge\fmlcore\1.20.1-47.2.20\12cd436f148405b50c9b16bd8f3cc6f18db89824\fmlcore-1.20.1-47.2.20.jar is missing mods.toml file
[09mei2024 18:53:23.230] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[09mei2024 18:53:24.432] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgedatauserdev' with arguments [--gameDir, ., --assetsDir, C:\Users\Veenstra\.gradle\caches\forge_gradle\assets, --assetIndex, 5, --mod, orenamental, --all, --output, C:\Users\Veenstra\Desktop\Orenamental\src\generated\resources, --existing, C:\Users\Veenstra\Desktop\Orenamental\src\main\resources]
[09mei2024 18:53:25.139] [main/INFO] [net.minecraftforge.data.loading.DatagenModLoader/]: Initializing Data Gatherer for mods [orenamental]
[09mei2024 18:53:29.127] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 47.2.20, for MC 1.20.1 with MCP 20230612.114412
[09mei2024 18:53:29.128] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v47.2.20 Initialized
[09mei2024 18:53:29.554] [main/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/C:/Users/Veenstra/.gradle/caches/forge_gradle/minecraft_user_repo/net/minecraftforge/forge/1.20.1-47.2.20_mapped_parchment_2023.10.08-1.20.2/forge-1.20.1-47.2.20_mapped_parchment_2023.10.08-1.20.2-recomp.jar%23191!/assets/.mcassetsroot' uses unexpected schema
[09mei2024 18:53:29.555] [main/WARN] [net.minecraft.server.packs.VanillaPackResourcesBuilder/]: Assets URL 'union:/C:/Users/Veenstra/.gradle/caches/forge_gradle/minecraft_user_repo/net/minecraftforge/forge/1.20.1-47.2.20_mapped_parchment_2023.10.08-1.20.2/forge-1.20.1-47.2.20_mapped_parchment_2023.10.08-1.20.2-recomp.jar%23191!/data/.mcassetsroot' uses unexpected schema
[09mei2024 18:53:29.732] [main/INFO] [net.minecraft.data.DataGenerator/]: Starting provider: Texture gen Orenamental
[09mei2024 18:53:29.824] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/black/black_aluminium_block has already been generated before, skipping!
[09mei2024 18:53:29.839] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/gray/gray_aluminium_door_top has already been generated before, skipping!
[09mei2024 18:53:29.839] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/gray/gray_aluminium_door_bottom has already been generated before, skipping!
[09mei2024 18:53:29.840] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/gray/gray_aluminium_grate has already been generated before, skipping!
[09mei2024 18:53:29.840] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/gray/gray_aluminium_pillar has already been generated before, skipping!
[09mei2024 18:53:29.841] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/gray/gray_aluminium_pillar_bottom has already been generated before, skipping!
[09mei2024 18:53:29.841] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/gray/gray_aluminium_pillar_top has already been generated before, skipping!
[09mei2024 18:53:29.842] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/gray/gray_aluminium_pillar_middle has already been generated before, skipping!
[09mei2024 18:53:29.842] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/gray/gray_aluminium_trapdoor has already been generated before, skipping!
[09mei2024 18:53:29.842] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/gray/gray_cut_aluminium has already been generated before, skipping!
[09mei2024 18:53:29.843] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/gray/gray_cut_aluminium_pillar has already been generated before, skipping!
[09mei2024 18:53:29.843] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/gray/gray_cut_aluminium_pillar_bottom has already been generated before, skipping!
[09mei2024 18:53:29.844] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/gray/gray_cut_aluminium_pillar_middle has already been generated before, skipping!
[09mei2024 18:53:29.844] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/gray/gray_cut_aluminium_pillar_top has already been generated before, skipping!
[09mei2024 18:53:29.844] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/white/white_aluminium_block has already been generated before, skipping!
[09mei2024 18:53:29.845] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture item/aluminium/white/white_aluminium_door has already been generated before, skipping!
[09mei2024 18:53:29.845] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/white/white_aluminium_door_top has already been generated before, skipping!
[09mei2024 18:53:29.846] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/white/white_aluminium_door_bottom has already been generated before, skipping!
[09mei2024 18:53:29.846] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/white/white_aluminium_grate has already been generated before, skipping!
[09mei2024 18:53:29.847] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/white/white_aluminium_pillar has already been generated before, skipping!
[09mei2024 18:53:29.847] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/white/white_aluminium_pillar_bottom has already been generated before, skipping!
[09mei2024 18:53:29.848] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/white/white_aluminium_pillar_top has already been generated before, skipping!
[09mei2024 18:53:29.848] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/white/white_aluminium_pillar_middle has already been generated before, skipping!
[09mei2024 18:53:29.849] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/white/white_aluminium_trapdoor has already been generated before, skipping!
[09mei2024 18:53:29.849] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/white/white_cut_aluminium has already been generated before, skipping!
[09mei2024 18:53:29.849] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/white/white_cut_aluminium_pillar has already been generated before, skipping!
[09mei2024 18:53:29.850] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/white/white_cut_aluminium_pillar_bottom has already been generated before, skipping!
[09mei2024 18:53:29.851] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/white/white_cut_aluminium_pillar_middle has already been generated before, skipping!
[09mei2024 18:53:29.851] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/white/white_cut_aluminium_pillar_top has already been generated before, skipping!
[09mei2024 18:53:29.852] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/brown/brown_aluminium_block has already been generated before, skipping!
[09mei2024 18:53:29.852] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture item/aluminium/brown/brown_aluminium_door has already been generated before, skipping!
[09mei2024 18:53:29.852] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/brown/brown_aluminium_door_top has already been generated before, skipping!
[09mei2024 18:53:29.853] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/brown/brown_aluminium_door_bottom has already been generated before, skipping!
[09mei2024 18:53:29.853] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/brown/brown_aluminium_grate has already been generated before, skipping!
[09mei2024 18:53:29.854] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/brown/brown_aluminium_pillar has already been generated before, skipping!
[09mei2024 18:53:29.854] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/brown/brown_aluminium_pillar_bottom has already been generated before, skipping!
[09mei2024 18:53:29.855] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/brown/brown_aluminium_pillar_top has already been generated before, skipping!
[09mei2024 18:53:29.855] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/brown/brown_aluminium_pillar_middle has already been generated before, skipping!
[09mei2024 18:53:29.856] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/brown/brown_aluminium_trapdoor has already been generated before, skipping!
[09mei2024 18:53:29.856] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/brown/brown_cut_aluminium has already been generated before, skipping!
[09mei2024 18:53:29.857] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/brown/brown_cut_aluminium_pillar has already been generated before, skipping!
[09mei2024 18:53:29.857] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/brown/brown_cut_aluminium_pillar_bottom has already been generated before, skipping!
[09mei2024 18:53:29.857] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/brown/brown_cut_aluminium_pillar_middle has already been generated before, skipping!
[09mei2024 18:53:29.857] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/brown/brown_cut_aluminium_pillar_top has already been generated before, skipping!
[09mei2024 18:53:29.858] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/red/red_aluminium_block has already been generated before, skipping!
[09mei2024 18:53:29.858] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture item/aluminium/red/red_aluminium_door has already been generated before, skipping!
[09mei2024 18:53:29.858] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/red/red_aluminium_door_top has already been generated before, skipping!
[09mei2024 18:53:29.859] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/red/red_aluminium_door_bottom has already been generated before, skipping!
[09mei2024 18:53:29.859] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/red/red_aluminium_grate has already been generated before, skipping!
[09mei2024 18:53:29.859] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/red/red_aluminium_pillar has already been generated before, skipping!
[09mei2024 18:53:29.860] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/red/red_aluminium_pillar_bottom has already been generated before, skipping!
[09mei2024 18:53:29.860] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/red/red_aluminium_pillar_top has already been generated before, skipping!
[09mei2024 18:53:29.861] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/red/red_aluminium_pillar_middle has already been generated before, skipping!
[09mei2024 18:53:29.861] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/red/red_aluminium_trapdoor has already been generated before, skipping!
[09mei2024 18:53:29.861] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/red/red_cut_aluminium has already been generated before, skipping!
[09mei2024 18:53:29.862] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/red/red_cut_aluminium_pillar has already been generated before, skipping!
[09mei2024 18:53:29.862] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/red/red_cut_aluminium_pillar_bottom has already been generated before, skipping!
[09mei2024 18:53:29.862] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/red/red_cut_aluminium_pillar_middle has already been generated before, skipping!
[09mei2024 18:53:29.863] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/red/red_cut_aluminium_pillar_top has already been generated before, skipping!
[09mei2024 18:53:29.863] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/orange/orange_aluminium_block has already been generated before, skipping!
[09mei2024 18:53:29.863] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture item/aluminium/orange/orange_aluminium_door has already been generated before, skipping!
[09mei2024 18:53:29.864] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/orange/orange_aluminium_door_top has already been generated before, skipping!
[09mei2024 18:53:29.864] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/orange/orange_aluminium_door_bottom has already been generated before, skipping!
[09mei2024 18:53:29.865] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/orange/orange_aluminium_grate has already been generated before, skipping!
[09mei2024 18:53:29.865] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/orange/orange_aluminium_pillar has already been generated before, skipping!
[09mei2024 18:53:29.866] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/orange/orange_aluminium_pillar_bottom has already been generated before, skipping!
[09mei2024 18:53:29.866] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/orange/orange_aluminium_pillar_top has already been generated before, skipping!
[09mei2024 18:53:29.866] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/orange/orange_aluminium_pillar_middle has already been generated before, skipping!
[09mei2024 18:53:29.867] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/orange/orange_aluminium_trapdoor has already been generated before, skipping!
[09mei2024 18:53:29.867] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/orange/orange_cut_aluminium has already been generated before, skipping!
[09mei2024 18:53:29.868] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/orange/orange_cut_aluminium_pillar has already been generated before, skipping!
[09mei2024 18:53:29.868] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/orange/orange_cut_aluminium_pillar_bottom has already been generated before, skipping!
[09mei2024 18:53:29.868] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/orange/orange_cut_aluminium_pillar_middle has already been generated before, skipping!
[09mei2024 18:53:29.869] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/orange/orange_cut_aluminium_pillar_top has already been generated before, skipping!
[09mei2024 18:53:29.869] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/yellow/yellow_aluminium_block has already been generated before, skipping!
[09mei2024 18:53:29.869] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture item/aluminium/yellow/yellow_aluminium_door has already been generated before, skipping!
[09mei2024 18:53:29.870] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/yellow/yellow_aluminium_door_top has already been generated before, skipping!
[09mei2024 18:53:29.870] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/yellow/yellow_aluminium_door_bottom has already been generated before, skipping!
[09mei2024 18:53:29.870] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/yellow/yellow_aluminium_grate has already been generated before, skipping!
[09mei2024 18:53:29.871] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/yellow/yellow_aluminium_pillar has already been generated before, skipping!
[09mei2024 18:53:29.871] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/yellow/yellow_aluminium_pillar_bottom has already been generated before, skipping!
[09mei2024 18:53:29.871] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/yellow/yellow_aluminium_pillar_top has already been generated before, skipping!
[09mei2024 18:53:29.872] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/yellow/yellow_aluminium_pillar_middle has already been generated before, skipping!
[09mei2024 18:53:29.872] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/yellow/yellow_aluminium_trapdoor has already been generated before, skipping!
[09mei2024 18:53:29.873] [main/ERROR] [net.minecraft.data.DataProvider/]: Texture block/aluminium/yellow/yellow_cut_aluminium has already been generated before, skipping!
